Date,Name,Year,Letterboxd URI
2025-10-15,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC
2025-10-15,Ice Age: Continental Drift,2012,https://boxd.it/lQ2
2025-10-15,Toy Story,1995,https://boxd.it/29qA
2025-10-15,Toy Story 2,1999,https://boxd.it/29qq
2025-10-15,Cars,2006,https://boxd.it/29ho
2025-10-15,Cars 2,2011,https://boxd.it/H4Y
2025-10-15,Cars 3,2017,https://boxd.it/7IPq
2025-10-15,Rango,2011,https://boxd.it/QPk
2025-10-15,"Monsters, Inc.",2001,https://boxd.it/2a46
2025-10-16,Into the Wild,2007,https://boxd.it/22m2
2025-10-18,Come and See,1985,https://boxd.it/1w9q
2025-10-19,Jaws,1975,https://boxd.it/2a5e
2025-10-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-10-24,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk
2025-10-24,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS
2025-10-24,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU
2025-11-01,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-11-01,The Martian,2015,https://boxd.it/8SeG
2025-11-02,Coco,2017,https://boxd.it/bYJQ
2025-11-03,Paths of Glory,1957,https://boxd.it/29b6
2025-11-03,Hereditary,2018,https://boxd.it/hNVe
2025-11-03,The Pursuit of Happyness,2006,https://boxd.it/28PE
2025-11-03,Home Alone,1990,https://boxd.it/29Fg
2025-11-03,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
2025-11-03,The Social Network,2010,https://boxd.it/17ue
2025-11-03,Inside Out,2015,https://boxd.it/4KHC
2025-11-04,Fractured,2019,https://boxd.it/kPL2
2025-11-05,The Purge,2013,https://boxd.it/4Xg0
2025-11-06,Asteroid City,2023,https://boxd.it/s3ds
2025-11-07,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2025-11-07,Texas Chainsaw Massacre,2022,https://boxd.it/ns6c
2025-11-07,Spider-Man,2002,https://boxd.it/2a8i
2025-11-07,Spider-Man 2,2004,https://boxd.it/2a88
2025-11-07,Spider-Man 3,2007,https://boxd.it/2a7Y
2025-11-07,The Amazing Spider-Man,2012,https://boxd.it/27PI
2025-11-07,The Amazing Spider-Man 2,2014,https://boxd.it/3utM
2025-11-07,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2025-11-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark
2025-11-07,Maleficent,2014,https://boxd.it/3v1u
2025-11-07,Jumanji,1995,https://boxd.it/1ZLI
2025-11-07,Bolt,2008,https://boxd.it/1QXg
2025-11-07,Ratatouille,2007,https://boxd.it/27ww
2025-11-07,Up,2009,https://boxd.it/1OEc
2025-11-07,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2025-11-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2025-11-07,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo
2025-11-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe
2025-11-07,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU
2025-11-07,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu
2025-11-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2025-11-07,Night at the Museum,2006,https://boxd.it/28wi
2025-11-07,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa
