Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-14,2001: A Space Odyssey,1968,https://boxd.it/8sSrzr,5,,,2025-01-13
2025-01-14,The Lord of the Rings: The Return of the King,2003,https://boxd.it/8sSrVd,4.5,,,2025-01-13
2025-01-14,12 Angry Men,1957,https://boxd.it/8sSsad,4.5,,,2025-01-13
2025-01-14,Trainspotting,1996,https://boxd.it/8sSsw9,4,,,2025-01-13
2025-01-14,La Haine,1995,https://boxd.it/8sSsQN,5,,,2025-01-13
2025-01-14,Manchester by the Sea,2016,https://boxd.it/8sSt9v,5,,,2025-01-13
2025-01-14,Persona,1966,https://boxd.it/8sStpD,4.5,,,2025-01-13
2025-01-14,Ikiru,1952,https://boxd.it/8sStZL,5,,,2025-01-13
2025-01-14,Joker: Folie à Deux,2024,https://boxd.it/8sSuyB,2,,,2025-01-13
2025-01-14,Spider-Man: Far From Home,2019,https://boxd.it/8sSuQP,2,,,2025-01-13
2025-01-14,Avengers: Endgame,2019,https://boxd.it/8sSv7r,2,,,2025-01-13
2025-01-14,Avengers: Infinity War,2018,https://boxd.it/8tnoDH,2,,,2025-01-14
2025-01-14,Lawrence of Arabia,1962,https://boxd.it/8tnoOZ,3,,,2025-01-14
2025-01-14,X-Men: Apocalypse,2016,https://boxd.it/8tnoX3,2.5,,,2025-01-14
2025-01-14,X-Men: Days of Future Past,2014,https://boxd.it/8tnp5L,3,,,2025-01-14
2025-01-14,Toy Story 3,2010,https://boxd.it/8tnpfr,2.5,,,2025-01-14
2025-01-14,Puss in Boots: The Last Wish,2022,https://boxd.it/8tnpn1,2.5,,,2025-01-14
2025-01-14,Pawn Sacrifice,2014,https://boxd.it/8tnpvp,3,,,2025-01-14
2025-01-14,Equilibrium,2002,https://boxd.it/8tnpD9,2.5,,,2025-01-14
2025-01-14,3 Idiots,2009,https://boxd.it/8tnpJV,3,,,2025-01-14
2025-01-14,Rush,2013,https://boxd.it/8tnpRb,3,,,2025-01-14
2025-01-14,Raging Bull,1980,https://boxd.it/8tnpYr,3.5,,,2025-01-14
2025-01-14,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/8tnq79,3,,,2025-01-14
2025-01-14,Léon: The Professional,1994,https://boxd.it/8tnqeJ,3,,,2025-01-14
2025-01-14,Scarface,1983,https://boxd.it/8tnqmD,3,,,2025-01-14
2025-01-14,The Lion King,1994,https://boxd.it/8tnqvb,3,,,2025-01-14
2025-01-14,The Dark Knight Rises,2012,https://boxd.it/8tnqD5,3,,,2025-01-14
2025-01-14,Jurassic Park,1993,https://boxd.it/8tnqKl,3,,,2025-01-14
2025-01-14,GoodFellas,1990,https://boxd.it/8tnqTH,3,,,2025-01-14
2025-01-14,Inside Out 2,2024,https://boxd.it/8tnr3d,3,,,2025-01-14
2025-01-14,Inglourious Basterds,2009,https://boxd.it/8tnraX,3,,,2025-01-14
2025-01-14,Once Upon a Time... in Hollywood,2019,https://boxd.it/8tnrft,3,,,2025-01-14
2025-01-14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/8tnrjZ,3,,,2025-01-14
2025-01-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/8tnrpX,3,,,2025-01-14
2025-01-14,The Dark Knight,2008,https://boxd.it/8tnrwJ,3,,,2025-01-14
2025-01-14,Dune,2021,https://boxd.it/8tnrEt,3,,,2025-01-14
2025-01-14,Capernaum,2018,https://boxd.it/8tnrNb,3,,,2025-01-14
2025-01-14,Demolition,2015,https://boxd.it/8tnrWR,4,,,2025-01-14
