Date,Name,Year,Letterboxd URI,Rating
2025-12-27,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2025-12-27,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2025-12-27,The Amazing Spider-Man,2012,https://boxd.it/27PI,2.5
2025-12-27,Big Hero 6,2014,https://boxd.it/5rje,2.5
2025-12-27,Spider-Man 3,2007,https://boxd.it/2a7Y,3
2025-12-27,The Terminator,1984,https://boxd.it/2aQY,3
2025-12-27,Alphaville,1965,https://boxd.it/20AG,3
2025-12-31,12 Angry Men,1957,https://boxd.it/2auI,4.5
2025-12-31,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2025-12-31,Interstellar,2014,https://boxd.it/4VZ8,3.5
2025-12-31,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2025-12-31,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2025-12-31,Seven Samurai,1954,https://boxd.it/2axi,4.5
2026-01-01,After Hours,1985,https://boxd.it/1VfS,3.5
2026-01-01,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3
2026-01-01,Dogville,2003,https://boxd.it/2a8W,4
2026-01-03,Funny Games,1997,https://boxd.it/1WKM,3.5
2026-01-05,The Hateful Eight,2015,https://boxd.it/8gw8,3.5
2026-01-12,Titanic,1997,https://boxd.it/2a2k,0.5
2026-01-15,It,2017,https://boxd.it/bC8e,1
2026-01-16,Lucy,2014,https://boxd.it/75hu,2.5
2026-01-17,Upgrade,2018,https://boxd.it/i4gW,2
2026-01-17,10 Things I Hate About You,1999,https://boxd.it/23AO,2.5
2026-01-17,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,2
2026-01-17,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,2
2026-01-17,Raging Bull,1980,https://boxd.it/28yI,3.5
2026-01-17,Falcon Lake,2022,https://boxd.it/zHkW,3
2026-01-18,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy,3.5
2026-01-18,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa,4
2026-01-19,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ,4.5
2026-01-23,The Game,1997,https://boxd.it/26vC,3
2026-01-25,Angst,1983,https://boxd.it/1G46,4
2026-01-25,Capernaum,2018,https://boxd.it/iM3s,3
2026-01-27,Django Unchained,2012,https://boxd.it/2cCk,4
2026-01-27,Blue Velvet,1986,https://boxd.it/29BI,4
2026-01-31,The Fall,2006,https://boxd.it/1NoM,4
2026-01-31,Bugonia,2025,https://boxd.it/qeWY,3.5
2026-01-31,Bronson,2008,https://boxd.it/1GM8,2.5
2026-02-01,The Theory of Everything,2014,https://boxd.it/7YtA,2
2026-02-01,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2026-02-01,Citizen Kane,1941,https://boxd.it/71O,4
2026-02-01,Dead Poets Society,1989,https://boxd.it/2aSg,4
2026-02-01,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,3.5
2026-02-02,The Hourglass Sanatorium,1973,https://boxd.it/OUW,4.5
2026-02-02,Requiem for a Dream,2000,https://boxd.it/29VI,4.5
2026-02-03,Fury,2014,https://boxd.it/6JwC,3.5
2026-02-03,Kolpaçino,2009,https://boxd.it/EBU,3.5
